Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 7,Esn 36,Device Type 0,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,
User 6,Esn 37,Device Type 1,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,
User 5,Esn 11,Device Type 0,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,2023-04-09 08:46:46,2023-06-18 16:11:39,2023-04-09 08:46:46,2023-06-18 16:11:39,
User 5,Esn 29,Device Type 1,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,
User 7,Esn 18,Device Type 1,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,
User 7,Esn 13,Device Type 1,2022-11-13 16:58:03,2023-06-20 05:53:24,2022-11-13 16:58:03,2023-06-20 05:53:24,2023-01-07 07:15:15,2023-06-14 18:25:13,2023-01-07 07:15:15,2023-06-14 18:25:13,
User 6,Esn 19,Device Type 6,2023-05-20 17:17:32,2023-05-20 17:47:09,2023-05-20 17:20:35,2023-05-20 17:47:09,2023-05-20 17:17:32,2023-05-20 17:47:09,2023-05-20 17:20:35,2023-05-20 17:47:09,
User 6,Esn 11,Device Type 0,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,2023-01-15 16:20:56,2023-05-19 16:55:22,2023-01-15 16:20:56,2023-05-19 16:55:22,
User 7,Esn 11,Device Type 0,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-31 16:20:14,2023-05-02 15:49:40,2022-12-31 16:20:14,2023-05-02 15:49:40,
User 7,Esn 9,Device Type 1,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,
User 7,Esn 28,Device Type 1,2023-02-08 18:01:39,2023-06-17 19:18:26,2023-02-08 18:01:39,2023-06-17 19:18:26,2023-04-25 16:44:36,2023-04-25 16:44:36,2023-04-25 16:44:36,2023-04-25 16:44:36,
User 7,Esn 17,Device Type 11,2022-11-21 08:59:17,2023-04-28 09:47:49,2022-11-21 08:59:17,2023-04-28 09:47:49,2023-04-20 12:03:50,2023-04-20 12:06:35,2023-04-20 12:03:50,2023-04-20 12:06:35,
User 6,Esn 22,Device Type 2,2023-03-28 17:15:01,2023-04-19 15:17:50,2023-04-19 15:12:09,2023-04-19 15:17:50,2023-03-28 17:15:01,2023-04-19 15:17:50,2023-04-19 15:12:09,2023-04-19 15:17:50,
User 6,Esn 13,Device Type 1,2022-11-13 16:58:03,2023-06-20 05:53:24,2022-11-13 16:58:03,2023-06-20 05:53:24,2023-01-11 12:46:04,2023-04-10 09:47:35,2023-01-11 12:46:04,2023-04-10 09:47:35,
User 5,Esn 16,Device Type 7,2023-01-01 03:43:30,2023-04-09 10:14:47,2023-01-01 04:06:14,2023-04-09 10:14:47,2023-04-09 10:14:47,2023-04-09 10:14:47,2023-04-09 10:14:47,2023-04-09 10:14:47,
User 5,Esn 9,Device Type 1,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2023-04-08 18:39:22,2023-04-08 18:39:22,2023-04-08 18:39:22,2023-04-08 18:39:22,
User 6,Esn 9,Device Type 1,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2023-04-08 18:38:40,2023-04-08 18:38:40,2023-04-08 18:38:40,2023-04-08 18:38:40,
User 6,Esn 16,Device Type 7,2023-01-01 03:43:30,2023-04-09 10:14:47,2023-01-01 04:06:14,2023-04-09 10:14:47,2023-01-01 03:43:30,2023-03-19 04:02:34,2023-01-01 04:06:14,2023-03-19 04:02:34,
User 6,Esn 27,Device Type 0,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,
User 5,Esn 14,Device Type 1,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-02-25 13:15:36,2023-02-25 13:15:36,2023-02-25 13:15:36,2023-02-25 13:15:36,2023-02-25 13:15:36,
User 6,Esn 14,Device Type 1,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-01-30 15:39:44,2022-10-23 18:49:50,2023-01-30 15:39:44,
User 7,Esn 32,Device Type 1,2022-10-06 18:28:05,2023-06-20 16:09:44,2022-10-06 18:28:05,2023-06-20 16:09:44,2022-10-06 18:28:05,2023-01-16 21:31:28,2022-10-06 18:28:05,2023-01-16 21:31:28,
User 7,Esn 25,Device Type 1,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,
User 7,Esn 21,Device Type 0,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,
User 6,Esn 10,Device Type 1,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,
